business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Manufacturing,2,2042166,166768,1796988,662,4,0.84,1140188,Average,0
Retail,6,1335408,181040,200635,681,4,0.38,1625194,Average,0
Retail,14,1761312,335508,752682,576,2,0.83,2511648,Good,1
Manufacturing,6,2875606,436561,1070346,570,3,0.86,2216381,Poor,1
Services,2,7927742,71567,2863757,313,0,0.1,3579520,Poor,1
Manufacturing,1,5353929,111229,1936522,597,1,0.47,230205,Good,0
Retail,10,796440,474823,1379328,763,4,0.12,2649527,Good,0
Manufacturing,21,1771926,432601,2859737,826,2,0.83,3648768,Poor,1
Services,5,1752137,496874,302773,533,3,0.51,4151061,Poor,1
Manufacturing,2,3173524,480116,2426517,326,3,0.16,1585667,Good,0
Retail,22,3042455,219316,884938,770,0,0.19,4523209,Average,0
Services,16,2569409,216497,857400,392,4,0.41,1913587,Poor,1
Trading,2,6313704,360662,439821,608,0,0.85,1457955,Good,0
Retail,10,5766901,102844,2360830,351,1,0.65,3087539,Average,1
Services,2,2003820,183991,2327732,618,1,0.79,1265988,Average,1
Services,16,6137912,110697,222903,480,1,0.39,2133916,Average,0
Trading,16,595599,77196,2587675,419,3,0.13,309199,Average,1
Manufacturing,19,1857009,135600,152951,342,4,0.88,1362319,Good,1
Manufacturing,7,5439826,120625,355745,559,0,0.11,4287424,Poor,1
Retail,22,6907819,492617,1829892,496,0,0.86,900499,Average,1
Trading,12,7423879,413711,2219330,554,1,0.39,2634659,Average,0
Manufacturing,24,897904,326899,2363535,635,4,0.11,370652,Good,0
Trading,15,4057454,480900,1258402,801,4,0.65,3760367,Average,0
Manufacturing,8,416841,53324,2217045,554,2,0.88,3200185,Good,1
Services,6,6207726,361073,398943,813,4,0.87,3235887,Good,0
Manufacturing,10,469934,414768,563223,541,4,0.23,93391,Poor,1
Trading,3,4222750,71272,1373921,448,0,0.24,2395554,Average,0
Services,19,6126038,449069,970243,598,4,0.55,736366,Poor,1
Services,17,1435270,269264,2386038,752,4,0.61,1228605,Good,1
Services,7,537068,183996,2582863,692,0,0.69,2995050,Average,1
Trading,21,5324592,356606,2572992,511,4,0.24,1225328,Good,0
Retail,20,6692863,247459,1240283,837,0,0.87,2004803,Good,0
Retail,4,3939688,174961,1632828,430,2,0.61,665522,Good,1
Retail,14,4449287,256538,471001,628,3,0.78,1274456,Average,0
Trading,20,1904243,74675,2885309,555,0,0.53,3115680,Good,1
Services,22,1151161,93591,62336,778,0,0.43,371021,Good,0
Retail,15,5779380,483406,913907,362,4,0.88,743192,Average,1
Trading,24,5072945,173706,1519204,610,0,0.57,3157403,Poor,0
Retail,8,1005356,314507,898182,706,1,0.79,4476528,Good,0
Manufacturing,21,6343343,214824,1975656,404,1,0.86,243747,Poor,1
Retail,15,7851176,359148,478670,314,2,0.64,2345737,Poor,1
Retail,22,1938846,469614,899104,558,0,0.54,1058595,Poor,1
Services,20,4530987,249530,339372,711,4,0.1,460498,Poor,0
Trading,14,3559819,322862,64429,558,4,0.13,2015761,Poor,1
Services,9,6709253,133627,1182870,559,3,0.26,2447600,Poor,1
Services,8,1759410,233988,1282663,344,2,0.25,2826373,Average,0
Services,17,624934,309014,924506,630,4,0.3,2076379,Average,0
Services,2,7933656,57394,893810,464,3,0.34,2832376,Poor,1
Services,24,2102466,334201,87310,492,4,0.39,4303841,Average,0
Retail,3,4121615,99795,2773267,820,3,0.44,884248,Average,0
Services,8,2682865,362553,249899,700,1,0.18,1418784,Poor,0
Services,12,1097583,295160,478472,673,1,0.13,3226966,Poor,0
Trading,1,764310,62137,257500,364,4,0.64,3236581,Good,1
Manufacturing,10,5733126,413369,149862,686,2,0.53,3099535,Average,0
Retail,20,4014755,158925,1070498,794,0,0.46,3437016,Poor,0
Retail,3,857242,32379,2448185,714,2,0.61,911575,Average,1
Retail,6,3427640,429008,1412148,329,2,0.76,3858414,Average,1
Services,7,1068223,141169,2519798,565,0,0.44,1854315,Average,1
Services,20,4603677,189439,2577575,627,1,0.61,1371318,Good,0
Services,23,4398535,169172,2721695,791,1,0.86,3558567,Poor,1
Trading,18,5053292,146082,417968,516,0,0.77,4869913,Average,1
Manufacturing,11,5504844,395233,841841,619,3,0.44,4661285,Poor,0
Services,19,1472304,476672,1141014,698,2,0.62,91810,Average,0
Manufacturing,5,6527952,31049,291482,404,4,0.24,4639885,Poor,1
Trading,19,7444676,414002,2912750,629,1,0.55,1414132,Poor,0
Retail,11,1943909,483120,835372,346,4,0.89,2926510,Poor,1
Services,24,5973938,181771,2111439,613,0,0.51,2187366,Average,0
Manufacturing,12,5408728,404928,2941453,446,4,0.84,4544198,Good,1
Manufacturing,10,5360795,329835,2641628,761,4,0.43,4828082,Poor,0
Services,8,6069049,188112,762222,785,2,0.9,4741185,Good,0
Retail,24,2299117,269527,2628305,709,0,0.56,1798336,Poor,1
Retail,9,1219134,244062,1910966,326,4,0.13,2731305,Good,1
Retail,4,2155797,77986,1305950,328,1,0.57,1557541,Poor,1
Trading,5,5931107,451978,1850266,570,0,0.32,4656745,Good,0
Manufacturing,21,6679515,174672,387766,800,1,0.13,957867,Poor,0
Manufacturing,8,3229735,376918,1600531,552,3,0.76,2046303,Poor,1
Manufacturing,23,4936440,241849,131948,684,4,0.32,2838429,Good,0
Trading,9,6176556,433026,2401809,359,0,0.74,3103781,Poor,1
Manufacturing,15,6789759,236775,1698655,406,1,0.33,132192,Average,0
Trading,15,811162,125315,1665270,519,4,0.26,1218710,Poor,1
Retail,16,2870725,339348,1139100,740,2,0.88,3160941,Poor,1
Services,14,3711134,302229,2301556,845,1,0.39,1817851,Average,0
Manufacturing,8,2726277,197926,2257312,395,1,0.58,1787895,Average,0
Manufacturing,18,5401687,488013,1245412,388,3,0.59,1602813,Average,0
Retail,10,7500987,235341,1781499,530,2,0.55,2864512,Good,0
Services,20,5624852,190851,530891,574,3,0.83,3615501,Average,1
Trading,6,5880509,207279,1266018,545,2,0.64,4408784,Good,1
Services,12,3500450,245687,618933,410,1,0.42,1413153,Average,0
Retail,2,2579042,316124,434903,533,3,0.79,4926958,Good,1
Retail,7,5441740,338261,831608,577,4,0.24,411973,Average,0
Services,16,1617621,165213,1184077,776,2,0.54,511213,Average,0
Trading,3,6708929,160416,1216026,716,1,0.86,4709042,Poor,1
Trading,13,3937967,35896,1818407,427,0,0.6,4609639,Average,0
Manufacturing,3,2667893,109353,1377676,536,2,0.75,3855074,Poor,1
Trading,18,1740351,49813,981398,427,2,0.62,3503965,Average,1
Services,11,6066140,235503,2126664,693,4,0.77,4457952,Average,0
Retail,8,2198917,85679,1590710,774,2,0.86,1038985,Poor,1
Manufacturing,6,5353127,161753,1639573,694,2,0.32,903153,Poor,0
Manufacturing,1,1039574,223975,2883770,410,4,0.24,4269731,Good,1
Retail,1,4371495,285372,2527724,389,4,0.49,13898,Poor,1
Trading,23,625437,417798,2316898,579,3,0.66,927976,Good,1
Retail,8,2116760,229755,1617043,632,1,0.28,1129376,Average,0
Trading,5,2391013,293541,150025,523,1,0.1,2468319,Poor,1
Retail,16,6748333,452015,1249728,400,3,0.37,1175294,Poor,1
Services,11,3930623,319155,1593992,431,1,0.88,2074632,Average,1
Trading,5,3981890,99183,2331636,312,2,0.66,1782474,Average,1
Services,4,6291305,375398,2009484,756,3,0.42,767877,Average,0
Manufacturing,6,1172834,457480,240043,740,3,0.25,4325168,Average,0
Retail,14,6343391,62317,2055789,397,1,0.38,4157018,Poor,1
Manufacturing,22,4937370,198986,2993430,419,0,0.24,2033839,Average,0
Manufacturing,19,6926379,235705,817128,592,1,0.19,4425108,Average,0
Manufacturing,9,919696,384633,365104,300,0,0.83,4982816,Poor,1
Manufacturing,12,4372250,196326,2381774,549,3,0.9,3290576,Good,1
Retail,11,6187774,322240,484368,448,0,0.23,4118684,Poor,1
Manufacturing,14,4412732,335929,1970773,694,2,0.14,1233460,Good,0
Retail,23,4614366,72344,1933145,343,4,0.36,1126161,Average,0
Retail,16,7652132,266060,2884523,343,0,0.47,1500334,Poor,1
Services,1,5862045,495859,1217498,377,4,0.26,3269875,Average,0
Trading,13,1332499,402526,566576,525,2,0.34,2485146,Poor,1
Trading,23,4120888,219618,1538204,461,4,0.26,2236489,Good,0
Retail,21,7834504,484307,1404596,552,2,0.72,1439592,Poor,1
Services,21,3276030,478819,2876176,431,4,0.67,798892,Average,1
Retail,13,6358749,179484,2983811,747,4,0.61,3673493,Poor,1
Retail,2,2631348,130489,1183009,773,1,0.41,2341152,Average,0
Retail,4,4701913,464874,2220856,408,0,0.83,4038913,Poor,1
Services,6,2312755,462765,581149,334,4,0.88,4468298,Good,1
Trading,23,7266758,278667,288366,766,3,0.24,1986889,Poor,0
Services,5,4777310,31549,374058,574,1,0.28,2036966,Poor,1
Manufacturing,3,6865269,484432,1162464,486,0,0.52,2755318,Poor,1
Services,1,7499107,45739,915718,542,1,0.17,2453664,Poor,1
Services,4,3106284,303353,2732733,563,0,0.45,4980921,Good,0
Services,20,2150924,127051,263596,821,2,0.57,3567269,Average,0
Services,2,6864478,35116,118515,840,4,0.52,3276021,Poor,0
Trading,5,3186569,40045,466740,386,3,0.36,4865670,Poor,1
Manufacturing,3,7082577,439543,2416361,834,1,0.53,749440,Poor,0
Trading,9,3650448,55709,1263013,509,1,0.87,4620489,Good,1
Trading,20,1914099,325761,1943884,345,1,0.26,601108,Average,1
Services,6,6872531,473355,991208,766,1,0.62,3144349,Average,0
Retail,18,1441452,177977,238929,839,4,0.13,2518023,Poor,0
Retail,6,7116080,477364,2388692,325,0,0.15,4275538,Poor,1
Trading,19,7420821,223675,2110035,565,4,0.54,4687926,Average,0
Trading,12,7593859,249167,1714005,474,2,0.18,2368398,Poor,1
Services,11,5850560,401923,2103780,815,4,0.12,853539,Poor,0
Trading,2,7185248,325063,2393628,610,4,0.24,234501,Poor,0
Services,15,7214958,365665,1463110,621,2,0.55,1699192,Good,0
Retail,12,1530796,496616,1457576,434,4,0.66,939057,Good,1
Retail,12,413936,239222,1951209,354,0,0.26,1132655,Average,1
Manufacturing,9,4510583,209518,2573062,842,3,0.63,618725,Good,0
Retail,21,7839769,203500,72995,830,2,0.25,3749586,Good,0
Trading,24,3549479,461110,928752,455,1,0.59,4392241,Average,0
Retail,2,3812305,494365,1703005,446,0,0.43,380445,Good,0
Services,22,5614266,288591,2099079,784,3,0.62,1745356,Average,0
Retail,3,4580428,25499,1762355,319,0,0.9,156454,Poor,1
Manufacturing,12,5910774,59041,491168,568,0,0.85,38795,Average,1
Retail,16,2212493,313459,739197,632,1,0.1,3197153,Average,0
Services,21,2733351,152371,1802813,700,3,0.81,455755,Average,0
Services,24,2489063,402650,549471,605,0,0.15,1780139,Poor,0
Trading,1,3282202,156066,1930695,327,1,0.86,2462423,Poor,1
Retail,21,3119182,246486,805027,766,2,0.33,1252143,Poor,0
Services,3,1293978,232235,1135852,559,1,0.41,2562114,Average,0
Manufacturing,20,747244,277831,1657387,833,4,0.17,2437452,Average,0
Trading,2,5763974,420705,2463911,400,1,0.19,429960,Average,0
Manufacturing,9,2773188,373791,539858,652,1,0.68,1399060,Average,0
Retail,19,6552016,314499,60514,599,1,0.86,30568,Average,1
Retail,15,4732027,355949,2194608,595,0,0.59,687887,Average,0
Retail,18,3779000,350511,2154385,652,3,0.67,3111055,Average,0
Trading,11,5954204,392050,1361822,429,1,0.71,230066,Good,1
Services,23,1138927,399553,2980299,455,1,0.31,1301583,Poor,1
Trading,16,382806,359499,946977,373,4,0.14,4196659,Good,1
Manufacturing,22,4325345,136220,678373,641,4,0.1,2193581,Poor,0
Trading,17,3129045,241421,683389,764,2,0.38,1508077,Average,0
Manufacturing,5,1578673,369317,1207260,389,2,0.29,2575339,Good,0
Trading,12,5468638,284140,1425520,754,4,0.15,438949,Average,0
Services,11,5486448,271071,2766377,631,3,0.24,2208303,Good,0
Manufacturing,15,4415741,326531,2088170,647,2,0.2,3950248,Good,0
Retail,3,6788934,23089,2013853,532,3,0.83,4369781,Average,1
Retail,1,7078892,380971,1037886,401,4,0.21,1480634,Good,0
Trading,20,3757521,302803,177602,780,2,0.53,3731804,Good,0
Retail,16,6232764,327322,2011328,513,1,0.57,504898,Poor,1
Manufacturing,2,4984013,115965,2959154,407,4,0.53,2672969,Average,0
Retail,2,6232125,101268,1400093,464,2,0.18,1152154,Average,0
Services,3,4931889,367186,243691,634,3,0.36,2738343,Good,0
Services,8,3677932,388615,2425339,385,3,0.14,1611920,Average,0
Trading,24,2754698,221798,2379514,723,2,0.42,2578617,Poor,0
Manufacturing,15,5311412,352255,2344160,663,3,0.25,3736437,Poor,0
Services,7,5344829,257103,331383,359,2,0.55,1737568,Average,0
Services,6,5983860,264754,1240064,781,2,0.65,3447557,Average,0
Manufacturing,9,2579023,185637,598694,549,3,0.53,2165742,Poor,1
Retail,20,2738710,382579,1611023,416,0,0.45,3416849,Average,0
Retail,1,798512,109242,2053146,844,1,0.41,835399,Good,0
Trading,8,3800967,395348,2642440,343,4,0.77,1384792,Average,1
Retail,23,1067442,173956,529969,808,1,0.28,4693507,Good,0
Manufacturing,23,775278,299343,2356249,464,4,0.69,4373415,Poor,1
Services,3,2230440,80038,2541721,667,4,0.71,4596416,Average,1
Retail,4,6885523,77786,732346,591,1,0.44,357479,Poor,1
Trading,15,679593,391780,1054411,585,2,0.34,4182827,Average,1
Retail,6,794955,256042,851123,503,3,0.48,3578902,Good,1
Manufacturing,15,5778878,331438,250919,823,0,0.17,1483704,Average,0
Trading,21,1820180,229087,2981659,420,0,0.14,814,Poor,1
Retail,3,6376886,185250,249542,487,0,0.19,2565644,Good,0
Trading,21,5979487,425881,1770342,312,1,0.25,1018585,Average,0
Manufacturing,21,7637651,282678,1869833,499,1,0.5,4133726,Poor,1
Services,14,5140349,373972,2000500,755,2,0.78,4198129,Poor,1
Manufacturing,20,1926528,318276,943061,747,0,0.29,2505168,Average,0
Manufacturing,14,6396696,397864,1273045,370,2,0.85,2183542,Poor,1
Manufacturing,4,3214611,318254,697601,429,0,0.86,223923,Good,1
Manufacturing,12,3087976,209826,2954936,342,1,0.87,3775092,Average,1
Services,17,5839509,345724,1986983,819,3,0.77,2827529,Good,0
Services,7,1608014,435685,1454568,312,3,0.39,179577,Poor,1
Trading,9,2547680,346160,810956,834,3,0.16,1826341,Poor,0
Retail,3,4962315,66233,2978583,601,3,0.56,1630763,Poor,0
Services,13,6889154,412007,213543,826,4,0.55,4932446,Good,0
Services,15,7949098,217780,421557,414,0,0.78,3287477,Poor,1
Retail,18,7915585,471448,549964,759,3,0.9,2519920,Average,0
Services,19,3121839,244522,2201365,804,4,0.51,1833185,Average,0
Manufacturing,1,5241064,499653,849458,607,4,0.38,3269083,Poor,0
Manufacturing,6,598783,126311,2494480,624,4,0.25,1926458,Average,0
Retail,23,3676910,54409,55435,474,2,0.1,2261516,Good,0
Trading,2,3902571,266231,189565,813,2,0.51,2222603,Good,0
Trading,24,1437613,432540,2992905,471,4,0.54,2425393,Poor,1
Retail,14,4179928,421954,970267,801,3,0.76,2768696,Average,0
Retail,6,4155288,306198,2178650,633,0,0.5,3104689,Average,0
Manufacturing,14,7339879,49709,937977,583,1,0.83,3366136,Poor,1
Trading,4,7828519,129321,610113,774,2,0.6,3075702,Good,0
Services,21,2415226,498859,1377654,353,3,0.77,2666601,Poor,1
Manufacturing,8,7262365,20363,2677014,757,3,0.22,148616,Average,0
Retail,3,1640683,292502,1792115,719,1,0.78,1585851,Average,1
Trading,19,3930400,416456,2189934,708,1,0.64,4723831,Poor,1
Services,14,6294602,485417,497628,603,3,0.24,4763377,Good,0
Services,20,3154119,65689,1159137,521,1,0.25,2316744,Good,0
Manufacturing,17,2973705,284080,2617592,832,3,0.84,2256652,Poor,1
Trading,8,6607517,394416,514535,457,1,0.13,1096158,Average,0
Trading,24,3897170,111074,1590808,647,1,0.47,3477356,Good,0
Retail,14,3605610,195037,2698191,458,3,0.35,4982023,Poor,1
Trading,6,753222,228606,1398894,534,4,0.63,1758446,Average,1
Trading,23,2388618,20882,2007686,704,3,0.77,3464060,Good,0
Manufacturing,22,5132094,433440,106572,556,0,0.39,4569342,Good,0
Trading,16,5827824,387371,1946424,346,1,0.44,1181420,Poor,1
Services,19,2899327,274822,2563595,512,2,0.89,3329854,Average,1
Manufacturing,14,7896537,145865,2183221,778,1,0.73,3069534,Good,0
Manufacturing,19,7222972,143745,787550,786,0,0.82,1998318,Poor,1
Retail,3,4700852,444041,862802,641,2,0.45,3905592,Good,0
Trading,10,6005556,483956,1848954,823,2,0.29,3466165,Average,0
Retail,19,4945287,48885,2010350,802,3,0.43,4668818,Good,0
Services,9,6357366,191128,832533,305,4,0.67,4725805,Average,1
Manufacturing,20,7059991,416419,979090,443,3,0.19,2979465,Good,0
Manufacturing,13,2893157,211313,2852743,560,2,0.32,2506332,Good,0
Manufacturing,7,3097909,415460,437902,531,2,0.14,976273,Poor,1
Services,14,7653265,380466,2021402,569,4,0.45,4053899,Good,0
Services,9,7358021,350763,1950302,746,1,0.76,1001008,Average,0
Retail,23,7074692,41584,1702332,521,4,0.12,801341,Poor,1
Retail,19,6223308,290665,734659,351,3,0.64,2513736,Average,1
Retail,15,3249311,201089,489717,415,1,0.85,4288439,Average,1
Trading,20,6419922,315685,762494,837,3,0.29,3358296,Poor,0
Manufacturing,14,5875477,49063,2783112,840,4,0.65,3890230,Average,0
Manufacturing,24,7219879,90268,2550145,318,1,0.88,4177134,Good,1
Retail,6,6962064,276306,1240897,691,4,0.87,1417098,Poor,1
Manufacturing,21,517314,146218,2291105,718,0,0.29,4991088,Good,0
Retail,4,2935122,400350,1370307,608,2,0.18,2455717,Good,0
Trading,8,6028394,478168,2372024,485,1,0.22,2964123,Average,0
Trading,17,6745911,244126,2614695,560,2,0.66,1319943,Average,1
Services,9,3766032,190635,943441,827,0,0.68,864686,Good,0
Trading,1,1048692,190824,531127,572,1,0.64,3999011,Poor,1
Retail,24,2682962,246305,2628515,459,2,0.37,4244348,Good,0
Trading,20,3766689,415783,2910074,523,2,0.24,2706440,Good,0
Services,14,2376775,429337,975337,555,1,0.56,4076999,Average,0
Manufacturing,11,7019314,414890,1609366,479,2,0.49,2824514,Average,0
Retail,21,1914694,96411,1145589,319,2,0.68,3438900,Good,1
Manufacturing,3,7125978,129876,691629,767,1,0.45,1882961,Good,0
Services,9,881904,479491,964217,509,2,0.37,57965,Average,1
Services,14,4765669,218153,1245402,812,2,0.33,4264080,Good,0
Services,9,3588210,180212,681872,357,3,0.27,2188084,Average,0
Manufacturing,4,4181143,160399,128113,392,3,0.31,2965915,Good,0
Manufacturing,4,5211077,483879,2636999,520,0,0.18,3619390,Poor,1
Manufacturing,8,3446779,43331,1971792,531,3,0.38,4524430,Poor,1
Manufacturing,2,2245537,43004,217809,663,3,0.13,396562,Good,0
Services,9,2341381,258441,1609764,673,0,0.25,176251,Average,0
Services,14,378116,401387,1589219,755,2,0.7,3784789,Good,1
Retail,22,684370,423708,336268,387,2,0.36,2924101,Good,0
Retail,9,2322643,468013,445412,319,3,0.63,2309830,Average,1
Manufacturing,24,3674659,209167,2539667,313,0,0.67,4676808,Good,1
Trading,23,3752629,426965,146651,432,2,0.56,1529546,Average,0
Trading,16,819385,345361,1345125,333,4,0.87,4505023,Good,1
Services,17,3828880,109044,135395,507,1,0.12,4899619,Average,0
Services,16,1872138,291189,2682785,498,1,0.69,191750,Good,1
Services,12,2317337,302260,1919085,454,1,0.87,2682133,Poor,1
Retail,3,2623724,38667,415837,377,3,0.79,817865,Average,1
Retail,11,2528531,357201,1183859,471,1,0.23,210087,Poor,1
Services,14,1929753,94205,1143060,588,1,0.36,4996540,Average,0
Services,18,5480703,47302,2748954,844,4,0.24,2812627,Average,0
Services,21,526256,424499,2445067,719,2,0.58,602651,Average,0
Trading,21,5316680,182007,238726,306,4,0.67,1156480,Average,1
Retail,5,5380291,92534,1538332,459,3,0.35,3452572,Good,0
Trading,16,7153878,245414,264223,539,1,0.53,4833544,Good,0
Trading,20,720539,182696,1215975,722,2,0.65,4534024,Average,1
Services,5,6794290,33440,1989893,835,1,0.44,1592341,Good,0
Services,3,6023321,393145,2662761,369,1,0.78,1266366,Average,1
Manufacturing,12,3673307,328645,2045457,515,3,0.72,3696065,Average,1
Manufacturing,1,850242,414485,1063071,403,1,0.15,1007567,Poor,1
Trading,21,7301837,290012,1279221,353,0,0.6,522471,Average,0
Retail,9,3797831,181323,748093,629,2,0.29,2633913,Average,0
Services,9,3148439,360053,1736090,502,2,0.55,3883333,Good,0
Services,4,6278106,104523,673538,587,0,0.87,848268,Average,1
Trading,3,5810016,189801,337906,344,3,0.8,4498912,Average,1
Manufacturing,17,5020553,35734,1788268,497,1,0.42,1586578,Poor,1
Retail,2,7128241,193501,1234592,515,1,0.33,951712,Good,0
Manufacturing,24,6577935,192409,2195977,780,2,0.29,3089339,Good,0
Manufacturing,1,2822919,453541,2161029,608,3,0.53,212875,Poor,0
Manufacturing,8,2321835,365744,2570358,734,3,0.19,3242716,Average,0
Manufacturing,13,1099687,475730,2276217,631,3,0.54,1315856,Poor,1
Services,23,6727095,290577,682731,326,1,0.1,1146691,Good,0
Services,15,6378159,160183,411756,465,3,0.36,4225820,Poor,1
Manufacturing,8,7351633,123986,2264826,617,0,0.28,339126,Good,0
Retail,12,4149091,345897,2071363,573,4,0.88,2070203,Poor,1
Trading,22,5563269,133783,567257,682,3,0.68,2858885,Average,0
Retail,12,5718475,231655,446474,664,4,0.38,2732513,Average,0
Retail,14,3831674,486836,1350457,402,1,0.17,4187398,Good,0
Retail,15,2720872,303895,81629,802,3,0.51,3531949,Poor,0
Manufacturing,15,7636302,167525,1005083,672,2,0.27,4724152,Good,0
Services,9,3227503,236916,1252606,544,1,0.53,3575341,Average,0
Retail,19,5231767,452184,1531257,468,0,0.77,470409,Good,1
Manufacturing,20,6582827,181149,2101933,717,0,0.59,1873090,Average,0
Retail,22,6594814,259654,2949359,655,4,0.61,207932,Good,0
Retail,8,650679,447991,1568367,777,4,0.53,129189,Poor,1
Manufacturing,21,7092566,209216,2836719,424,2,0.84,3695263,Average,1
Services,19,5795437,330714,2069712,836,2,0.85,1000598,Good,0
Services,6,6799052,197169,312199,701,0,0.51,1032302,Average,0
Trading,20,6321656,306647,2920524,816,3,0.34,3296743,Poor,0
Manufacturing,19,5124574,153851,1187273,830,0,0.47,1614850,Average,0
Trading,4,6819585,368984,2835385,553,0,0.25,2403810,Poor,1
Trading,23,2726105,151827,1963207,420,2,0.61,4115617,Average,1
Trading,7,5111671,321407,1254966,331,4,0.5,3027287,Poor,1
Services,4,1404381,390635,83734,336,2,0.18,1730891,Average,0
Manufacturing,22,6753877,337231,263299,641,2,0.26,1882375,Poor,0
Trading,12,7847881,455497,2821034,312,2,0.48,70408,Good,0
Manufacturing,13,2316328,71482,192728,482,0,0.81,3369883,Good,1
Manufacturing,3,5355769,468073,721253,564,3,0.55,1315473,Average,0
Services,22,4732787,142989,1603185,387,0,0.65,3671849,Poor,1
Trading,12,6984007,430616,2950077,761,1,0.37,3905320,Good,0
Trading,2,7684073,322259,2544000,345,2,0.56,236192,Average,0
Manufacturing,24,6361266,296393,2767312,691,2,0.46,4552425,Good,0
Retail,2,570146,264255,1056152,418,1,0.63,564312,Poor,1
Services,23,5874807,460041,2471075,830,2,0.14,3918156,Average,0
Services,9,4601828,130361,743812,746,2,0.49,3679956,Poor,0
Services,1,6809762,306744,1767202,345,2,0.34,2918753,Poor,1
Services,8,5405593,319850,1481907,807,1,0.36,340791,Poor,0
Trading,23,844026,301366,1639804,825,0,0.87,4381705,Good,1
Trading,6,4242863,381185,702168,302,2,0.25,2541526,Average,0
Retail,6,4608080,386648,2769848,327,3,0.35,2336506,Poor,1
Services,22,4674798,61139,871247,680,1,0.51,4343169,Good,0
Services,18,6543490,134919,2196449,456,4,0.79,3753698,Poor,1
Manufacturing,17,6784427,267677,2207259,810,1,0.43,988652,Good,0
Trading,12,7521352,323446,2492089,632,0,0.7,4352641,Average,0
Services,6,6374036,245756,2557050,413,1,0.79,271695,Average,1
Retail,8,6361611,369982,342552,688,4,0.35,290538,Average,0
Retail,19,4772089,481375,2811349,786,3,0.41,2664427,Average,0
Trading,10,1690254,159718,2080290,549,4,0.39,3478511,Poor,1
Retail,1,568449,164615,1245055,614,1,0.77,1990170,Good,1
Retail,13,3150774,245568,1258957,538,4,0.14,1525249,Average,0
Trading,17,7920958,173857,2087998,533,1,0.35,4777234,Poor,1
Services,3,5883281,360497,1191766,602,3,0.64,1758185,Average,0
Services,8,4730675,444622,826644,633,3,0.55,2410959,Average,0
Retail,14,7193707,371136,2115167,412,0,0.45,1607820,Average,0
Retail,3,4475318,333572,574658,661,3,0.53,3947775,Good,0
Services,16,946275,43777,1474932,396,2,0.26,2884465,Good,1
Trading,13,6218806,77939,836918,315,4,0.44,4589367,Good,0
Retail,20,424591,466242,1908770,675,4,0.5,4954567,Average,0
Manufacturing,24,7183510,368594,2698053,689,1,0.82,3065783,Poor,1
Trading,17,7122255,442769,53196,516,3,0.31,1398366,Poor,1
Retail,13,939104,43548,1599648,698,0,0.79,1175724,Poor,1
Retail,6,2898133,476437,1985573,559,0,0.62,1654714,Average,1
Manufacturing,17,5268024,450481,1961357,619,0,0.12,4365307,Good,0
Manufacturing,14,5437985,145549,2998423,495,2,0.68,4631444,Poor,1
Services,17,4761213,453917,2653680,777,3,0.13,2906550,Average,0
Trading,8,3597154,464503,1520017,717,0,0.9,2023921,Average,0
Trading,11,1634649,157799,2717293,774,2,0.8,589413,Poor,1
Services,20,1508468,261532,2065470,843,4,0.34,2332229,Poor,1
Trading,1,1460152,201789,2834787,530,1,0.31,1165872,Average,1
Trading,7,4041104,445643,908811,820,3,0.41,4319659,Poor,0
Trading,21,1283667,167764,1214650,499,3,0.38,451930,Average,0
Trading,21,3523253,51625,2714649,320,4,0.4,2611401,Poor,1
Trading,17,6605236,307062,1717108,610,3,0.35,636984,Good,0
Manufacturing,10,2665885,454352,2903507,733,3,0.6,1539769,Average,0
Trading,11,6495196,396970,1831336,670,3,0.23,630363,Good,0
Manufacturing,22,1180096,134881,674588,377,3,0.78,3399459,Poor,1
Trading,9,7554899,465625,2204327,841,2,0.75,4327305,Average,0
Services,9,3890437,297721,1200127,584,2,0.48,3503025,Poor,1
Retail,24,2501340,367299,855408,439,1,0.78,2607604,Average,1
Manufacturing,5,3014766,131776,2539913,581,3,0.3,905954,Poor,1
Trading,17,3224537,381390,2728306,557,4,0.11,1456036,Good,0
Services,9,5084377,253996,2264904,659,0,0.6,2981999,Good,0
Retail,17,1892173,277831,2400716,739,1,0.47,4056441,Poor,1
Manufacturing,24,1927059,232803,343257,569,0,0.55,4144475,Good,0
Retail,21,6576046,178761,1869456,433,0,0.82,1394021,Good,1
Services,19,1374477,162226,1638265,403,3,0.88,4623415,Poor,1
Manufacturing,7,6221816,377092,2028964,394,4,0.61,2645307,Average,1
Retail,23,1773300,41341,1314008,779,0,0.71,2993091,Poor,1
Trading,9,7059383,379698,2312638,540,0,0.17,4522020,Average,0
Manufacturing,7,6092632,225753,2818654,312,1,0.23,2555602,Good,0
Retail,13,6520665,389942,2917640,446,4,0.69,1132324,Good,1
Services,11,7918436,328474,1432212,394,4,0.45,4336628,Good,0
Services,14,7240741,269141,1309112,592,0,0.46,4279565,Good,0
Manufacturing,19,597584,369903,1175269,324,4,0.35,2865883,Good,1
Retail,11,1705802,219488,2612600,571,1,0.59,4003043,Average,1
Manufacturing,13,1192015,276139,1912870,804,1,0.25,2653611,Average,0
Manufacturing,14,5075275,368951,2283414,465,1,0.6,1601381,Average,0
Retail,13,2783502,315457,1693063,386,3,0.24,1999657,Poor,1
